gibhli studio
Table 1,,,,,,,,
Year,Title,Director,Screenwriters,Producer,Music,Commercial premiere,Running Time ,Rotten Tomatoes
1986,Castle in the sky ,Hayao Miyazaki,Hayao Miyazaki ,Isao Takahata ,Joe Hisaishi ,2-8-86,2h 5m,96%
1988,Grave of the Fireflies,Isao Takahata,Isao Takahata,Toru Hara,Michio Mamiya,16-4-88,1h 28m,100%
1988,My Neighbour Totoro,Hayao Miyazaki,Hayao Miyazaki ,Toru Hara,Joe Hisaishi ,16-4-88,1h 26m,93%
1989,Kiki’s Delivery Service,Hayao Miyazaki,Hayao Miyazaki ,Hayao Miyazaki,Joe Hisaishi ,29-7-89,1h 43m,98%
1991,Only Yesterday,Isao Takahata,Isao Takahata,Toshio Suzuki,Masaru Hoshi,20-7-91,1h 59m,100%
1992,Porco Rosso ,Hayao Miyazaki,Hayao Miyazaki ,Toshio Suzuki,Joe Hisaishi ,18-7-92,1h 33m,96%
1994,Pom Poko,Isao Takahata,Isao Takahata,Toshio Suzuki,Shang Shang Typhoon,16-7-94,1h 59m,86%
1995,Whisper of the Heart,Yoshifumi Kondo,Hayao Miyazaki ,Toshio Suzuki,Yuji Nomi,15-7-95,1h 51m,94%
1997,Princess Mononoke,Hayao Miyazaki,Hayao Miyazaki ,Toshio Suzuki,Joe Hisaishi ,12-7-97,2h 13m,93%
1999,My Neighbour the Yamadas,Isao Takahata,Isao Takahata,Toshio Suzuki,Akiko Yano,17-7-99,1h 43m,78%
2001,Spirited Away ,Hayao Miyazaki,Hayao Miyazaki ,Toshio Suzuki,Joe Hisaishi ,20-7-01,2h 5m,96%
2002,The Cat Returns,Hiroyuki Morita,Reiko Yoshida,"Nozomu Takahashi , Toshio Suzuki",Yuji Nomi,19-7-02,1h 15m,90%
2004,Howl’s Moving Castle,Hayao Miyazaki,Hayao Miyazaki ,Toshio Suzuki,Joe Hisaishi ,20-11-04,1h 59m,87%
2006,Tales from Earthsea,Goro Miyazaki ,"Goro Miyazaki , Keiko Niwa",Toshio Suzuki,Tamiya Terashima,29-7-06,1h 55m,38%
2008,Ponyo,Hayao Miyazaki,Hayao Miyazaki ,Toshio Suzuki,Joe Hisaishi ,19-7-08,1h 41m,92%
2010,Arrietty,Hiromasa Yonebayashi,"Hayao Miyazaki , Keiko Niwa",Toshio Suzuki,Cecile Corbel,17-7-10,1h 34m,95%
2011,From Up on Poppy Hill, Goro Miyazaki ,"Hayao Miyazaki , Keiko Niwa",Toshio Suzuki,Satoshi Takebe,16-7-11,1h 31m,87%
2013,The Tale of the Princess Kaguya,Isao Takahata,Isao Takahata & Riko Sakaguchi,Yoshiaki Nishimura,Joe Hisaishi ,23-11-13,2h 17m,100%
2013,The Wind Rises,Hayao Miyazaki,Hayao Miyazaki ,Toshio Suzuki,Joe Hisaishi ,20-7-13,2h 6m,88%
2014,When Marnie Was There,Hiromasa Yonebayashi,"Hiromasa Yonebayashi, Keiko Niwa, Masashi Ando",Yoshiaki Nishimura,Takatsugu Muramatsu,19-7-14,1h 43m,92%
2023,The Boy and the Heron,Hayao Miyazaki,Hayao Miyazaki ,Toshio Suzuki,Joe Hisaishi ,14-7-23,2h 4m,97%
